"country","rateWb","yearWb","rateIlo","yearIlo","rateCia","yearCia"
"Antigua and Barbuda","8.4000","2001","","","11","2014"
"Barbados","8.4000","2019","8.4000","2019","10.1000","2017"
"Turks and Caicos Islands","8.3000","2008","","","10","1997"
"Puerto Rico","8.3000","2019","8.3000","2019","10.8000","2017"
"Sweden","8.3000","2020","8.3000","2020","6.7800","2019"
"Comoros","8.1000","2014","8.1000","2014","6.5000","2014"
"Latvia","8.1000","2020","8.1000","2020","6.1400","2019"
"United States","8.1000","2020","8.1000","2020","3.8900","2018"
"France","8","2020","8","2020","8.1200","2019"
"Vanuatu","7.9000","2019","7.9000","2019","1.7000","1999"
"Suriname","7.9000","2016","7.9000","2016","8.9000","2017"
"Bolivia","7.9000","2020","3.8000","2019","4","2017"
"Finland","7.8000","2020","7.8000","2020","6.6300","2019"
"Niger","7.8000","2017","7.8000","2017","0.3000","2017"
"Egypt","7.8000","2019","7.8000","2019","7.8600","2019"
"Cyprus","7.6000","2020","7.6000","2020","7.0700","2019"
"Croatia","7.5000","2020","7.5000","2020","8.0700","2019"
"Paraguay","7.5000","2020","7.6000","2020","5.7000","2017"
"Peru","7.4000","2020","7.1000","2020","6.5800","2019"
"Saudi Arabia","7.4000","2020","6","2018","6","2017"
"Mongolia","7","2020","7","2020","8","2017"
"Tajikistan","6.9000","2016","6.9000","2016","2.4000","2016"
"Luxembourg","6.8000","2020","6.8000","2020","5.3600","2019"
"Estonia","6.8000","2020","6.8000","2020","4.9400","2019"
"Portugal","6.8000","2020","6.8000","2020","6.5500","2019"
"Slovakia","6.7000","2020","6.7000","2020","5","2019"
"Jamaica","6.5000","2020","7.7000","2019","7.7200","2019"
"Australia","6.5000","2020","6.5000","2020","5.1600","2019"
"Gibraltar","6.4000","1991","","","1","2016"
"Marshall Islands","6.4000","2019","","","36","2006"
"Monaco","6.3000","2016","6.3000","2016","2","2012"
"Mauritius","6.3000","2019","6.3000","2019","6.6500","2019"
"Dominican Republic","6.1000","2020","6.4000","2019","5.1000","2017"
"Ecuador","6.1000","2020","6.1000","2020","5.7100","2019"
"San Marino","5.8000","2019","5.8000","2019","8.1000","2017"
"Hong Kong","5.8000","2020","2.9000","2019","2.9300","2019"
"Ireland","5.6000","2020","5.5000","2020","4.9800","2019"
"Denmark","5.6000","2020","5.6000","2020","3.0500","2019"
"Russia","5.6000","2020","4.5000","2019","4.6000","2019"
"Iceland","5.5000","2020","5.5000","2020","3.6200","2019"
"Belgium","5.5000","2020","5.6000","2020","5.3600","2019"
"Guam","5.4000","2016","5.4000","2016","4.5000","2017"
"Austria","5.4000","2020","5.4000","2020","7.3500","2019"
"Maldives","5.3000","2019","5.3000","2019","2.9000","2017"
"Nicaragua","5.2000","2018","5.2000","2018","6.4000","2017"
"China","5.2000","2019","5.2000","2019","3.6400","2019"
"Saint Kitts and Nevis","5.1000","2001","","","4.5000","1997"
"Bulgaria","5.1000","2020","5.1000","2020","5.6600","2019"
"Slovenia","5","2020","5","2020","7.6400","2019"
"Guinea","5","2019","5","2019","2.7000","2017"
"Romania","5","2020","5","2020","3.0600","2019"
"Venezuela","5","2017","5.1000","2017","6.9000","2018"
"Kenya","5","2019","5","2019","40","2013"
"Kazakhstan","4.9000","2020","4.8000","2019","4.8000","2019"
"Switzerland","4.8000","2020","4.8000","2020","2.3100","2019"
"Azerbaijan","4.8000","2019","4.9000","2019","5","2017"
"Timor-Leste","4.7000","2016","4.7000","2016","4.4000","2014"
"Burkina Faso","4.7000","2018","4.7000","2018","77","2004"
"India","4.7000","2020","5.3000","2019","8.5000","2017"
"New Zealand","4.6000","2020","4.6000","2020","4.1300","2019"
"Kyrgyzstan","4.5000","2018","4.5000","2018","3.1800","2019"
"Malaysia","4.5000","2020","3.3000","2019","3.3000","2019"
"DR Congo","4.5000","2012","","","",""
"Mexico","4.5000","2020","4.5000","2020","3.4900","2019"
"Norway","4.4000","2020","4.4000","2020","3.7200","2019"
"Bangladesh","4.4000","2017","4.4000","2017","4.4000","2017"
"Seychelles","4.3000","2020","3","2019","3","2017"
"Malta","4.3000","2020","4.3000","2020","0.7800","2019"
"Fiji","4.3000","2016","4.3000","2016","4.5000","2017"
"Israel","4.3000","2020","3.8000","2019","4.4000","2020"
"Hungary","4.3000","2020","4.3000","2020","3.4500","2019"
"Sri Lanka","4.3000","2018","4.8000","2019","4.8300","2019"
"Indonesia","4.3000","2020","4.3000","2020","5.3100","2018"
"Cayman Islands","4.2000","2015","4.2000","2015","4","2008"
"Ghana","4.2000","2017","4.2000","2017","11.9000","2015"
"Singapore","4.1000","2020","3.1000","2019","2.2500","2019"
"Belarus","4.1000","2020","4.2000","2019","0.8000","2017"
"Pakistan","4.1000","2018","4.1000","2018","6","2017"
"Turkmenistan","4","2010","","","11","2014"
"South Korea","3.9000","2020","","","3.7600","2019"
"Moldova","3.8000","2020","3.8000","2020","4.9900","2019"
"Netherlands","3.8000","2020","3.8000","2020","3.4100","2019"
"Germany","3.8000","2020","3.8000","2020","4.9800","2019"
"Faroe Islands","3.7000","2004","","","2.2000","2017"
"Togo","3.7000","2017","3.7000","2017","6.9000","2016"
"United Kingdom","3.7000","2019","3.7000","2019","3.1700","2019"
"Cameroon","3.5000","2014","3.5000","2014","4.3000","2014"
"Mozambique","3.4000","2015","3.4000","2015","24.5000","2017"
"British Virgin Islands","3.3000","1991","","","2.9000","2015"
"Ivory Coast","3.3000","2017","3.3000","2017","9.4000","2013"
"Guyana","3.2000","2018","14","2018","11.1000","2013"
"Trinidad and Tobago","3.2000","2016","3.2000","2016","4.9000","2017"
"Sierra Leone","3.2000","2018","4.7000","2014","15","2017"
"Poland","3.2000","2020","3.2000","2020","5.4300","2019"
"Tonga","3.1000","2018","3.1000","2018","1.1000","2011"
"Liberia","3.1000","2016","3.1000","2016","2.8000","2014"
"Oman","2.9000","2020","1.8000","2018","",""
"Senegal","2.9000","2019","3.6000","2017","48","2007"
"Japan","2.8000","2020","2.8000","2020","2.3600","2019"
"Isle of Man","2.7000","2016","2.7000","2016","1.1000","2017"
"Macau","2.6000","2020","1.8000","2019","2","2017"
"Papua New Guinea","2.6000","2011","","","2.5000","2017"
"Bhutan","2.5000","2015","2.5000","2015","3.2000","2017"
"Czech Republic","2.5000","2020","2.6000","2020","2.8000","2019"
"Philippines","2.5000","2020","2.2000","2019","5.1100","2019"
"Vietnam","2.4000","2020","2.4000","2020","3.1100","2018"
"Ethiopia","2.3000","2013","","","17.5000","2012"
"Kuwait","2.2000","2016","2.2000","2016","1.1000","2017"
"United Arab Emirates","2.2000","2019","2.2000","2019","1.6000","2016"
"Guatemala","2.2000","2019","2.2000","2019","2.3000","2017"
"Tanzania","2.1000","2014","2.1000","2014","10.3000","2014"
"Liechtenstein","2","2007","","","2.4000","2015"
"Madagascar","1.8000","2015","1.8000","2015","1.8000","2017"
"Cuba","1.7000","2018","1.7000","2018","2.6000","2017"
"Mali","1.6000","2018","1.6000","2018","7.9000","2017"
"Benin","1.5000","2018","","","1","2014"
"Palau","1.4000","2014","1.4000","2014","1.7000","2015"
"Malawi","1.3000","2020","5.8000","2017","20.4000","2013"
"Bahrain","1.2000","2012","","","3.6000","2017"
"Cambodia","1.2000","2019","0.1000","2017","0.3000","2017"
"Chad","1.1000","2018","1.1000","2018","",""
"Thailand","1.1000","2020","0.7000","2019","0.9900","2019"
"Solomon Islands","0.7000","2013","","","",""
"Myanmar","0.5000","2019","0.5000","2019","4","2017"
"Qatar","0.1000","2020","0.1000","2019","8.9000","2017"
"El Salvador","0.1000","2020","4.2000","2019","7","2017"
"Tokelau","","---","","","2","2015"
"Niue","","","","","12","2001"
"Falkland Islands","","","1","2016","1","2016"
"Montserrat","","","","","5.6000","2017"
"Saint Pierre and Miquelon","","","","","8.7000","2015"
"Wallis and Futuna","","","","","8.8000","2013"
"Anguilla","","","","","8","2002"
"Cook Islands","","","1.3000","2019","13.1000","2005"
"Sint Maarten","","","","","12","2012"
"Andorra","","","","","3.7000","2016"
"French Guiana","","","23.2000","2016","",""
"Guadeloupe","","","23.8000","2016","",""
"Eritrea","","","","","5.8000","2017"
"Central African Republic","","","","","6.9000","2017"
"Somalia","","","","","",""
"Taiwan","","","3.7000","2019","3.7300","2019"
"North Korea","","","","","25.6000","2013"
